Station Name,Latitude,Longitude
Centerpoint (previously) Rashidiya,25.23026975,55.39120001
Emirates Metro Station Entrance 1,25.23961194,55.36715338
Airport Terminal 3,25.24572994,55.35994602
Airport Terminal 1,25.24862813,55.35235557
GGICO Metro Station,25.24964341,55.33992588
City Centre Deira Metro Station 1,25.25509223,55.33030838
Al Rigga,25.2634931,55.32386363
Union Metro Station,25.26635907,55.3145078
Burjuman,25.25473058,55.30427222
ADCB Metro Station,25.2444886,55.2981938
Max,25.23380815,55.2921294
Trade Centre 2,25.22486692,55.28503509
Emirates Towers Metro,25.21735099,55.27992117
DIFC,25.21126944,55.27557612
Burj Khalifa/ Dubai Mall,25.20151945,55.26943271
Business Bay,25.19141229,55.26027931
Onpassive Metro Station,25.15590241,55.22854115
Equiti,25.12649509,55.2075274
Mall of the Emirates,25.12149086,55.20041513
Mashreq,25.11499415,55.1909449
Dubai Internet City,25.10210324,55.173639
Al Khail Metro Station/الخيل‎,25.08884256,55.15814906
Sobha Realty Metro Station,25.0800132,55.1474085
DMCC Metro Station,25.07099513,55.13869374
Jabal Ali Metro Station,25.0578115,55.12696117
Ibn Battuta,25.04699712,55.1176577
Energy Metro Station,25.02633582,55.10130292
Danube Metro Station,25.00131458,55.09568579
UAE Exchange Metro Station,24.97767397,55.09102076
