Area,Latitude_Area,Longitude_Area
BUSINESS BAY,25.18942655,55.26481901527489
Al Wasl,25.1959326,55.2557371
JUMEIRAH LAKES TOWERS,25.07238315,55.14374317909845
JUMEIRAH VILLAGE CIRCLE,25.0711638,55.21088936907769
DUBAI CREEK HARBOUR,25.197978,55.36037960558315
Madinat Dubai Almelaheyah,25.264785,55.29924
DUBAI WATER CANAL,25.1884394,55.2473226
DUBAI MARINA,25.0786415,55.1352524
Business Bay,25.18942655,55.26481901527489
TOWN SQUARE,25.00031095,55.30045287964576
Al Yufrah 1,25.245035,55.29057
Zaabeel First,25.217974,55.271978
SOBHA HEARTLAND,25.223936,55.254883
MEYDAN ONE,25.17251825,55.28709167780924
DAMAC HILLS,25.0264304,55.26139240806448
JUMEIRAH VILLAGE TRIANGLE,25.0466413,55.19018468479182
BURJ KHALIFA,25.1970306,55.274221681616936
DUBAI LAND RESIDENCE COMPLEX,25.225281,55.238274
Wadi Al Safa 5,25.0453367,55.2691931
Wadi Al Safa 3,25.10518835,55.31603082783991
THE FIELD,25.0264304,55.26139240806448
Me'Aisem First,25.24899,55.275772
Nad Al Shiba First,25.259415,55.29422
PALM JUMEIRAH,25.10019025,55.11853499506269
DUBAI HILLS,25.0974142,55.2684401
SILICON OASIS,25.1226398,55.39607829311714
JUMEIRAH LIVING,25.0875891,55.1471081
TECOM SITE A,25.22003,55.269284
DOWN TOWN JABAL ALI,25.219595,55.265259
Um Suqaim Third,25.235248,55.265015
AL FURJAN,25.02685925,55.148653201166894
Marsa Dubai,25.087986800000003,55.14592949801941
MOTOR CITY,25.0476902,55.23820948643042
VILLANOVA,25.0750041,55.359536097226105
ARJAN,25.0627549,55.2392983
Al Hebiah Fourth,25.248535,55.278076
DUBAI SOUTH,24.9004163,55.14222130368596
Madinat Hind 4,25.24624,55.268982
DUBAI HARBOUR,25.0956188,55.13800090659106
Warsan First,25.258423,55.255737
Island 2,25.217773,55.253784
CITY WALK,25.20542585,55.263450471380224
Al Yelayiss 2,25.223755,55.252747
CHERRYWOODS,25.01600445,55.2909518531374
TILAL AL GHAF,25.02426745,55.22382996438196
DUBAI STUDIO CITY,25.0350897,55.2373781
DUBAI PRODUCTION CITY,25.0321324,55.19130701407138
THE LAKES,25.08086255,55.16924097168776
MBR DISTRICT 7,25.223947,55.275085
MINA RASHID,25.259397,55.2794881
Hadaeq Sheikh Mohammed Bin Rashid,25.1189405,55.2668423
THE VALLEY,25.225647,55.277954
ARABIAN RANCHES III,25.197002,55.292053
DUBAI SCIENCE PARK,25.225403,55.276428
Jumeirah First,25.068293,55.1450698
LA MER,25.22730085,55.256497843641
MBR DISTRICT 1,25.224304,55.275452
Madinat Al Mataar,25.220337,55.272461
LIWAN,25.1101209,55.3676993
Al Hebiah Sixth,25.248657,55.273682
MAJAN,25.0929388,55.3184835
EMAAR SOUTH,24.8649069,55.14376334914999
DUBAI SPORTS CITY,25.038695,55.2243801049928
JUMEIRAH BEACH RESIDENCE,25.0778021,55.13518094856796
Al Barshaa South Third,25.222778,55.260162
Wadi Al Safa 7,25.0453367,55.2691931
JUMEIRA BAY,25.1884394,55.2473226
Zaabeel Second,25.217346,55.273071
DUBAI HEALTHCARE CITY - PHASE 2,25.219177,55.26889
THE WORLD,25.23726785,55.195494157283456
INTERNATIONAL CITY PH 2 & 3,25.232788,55.25415
RUKAN,25.0423484,55.28809297477213
JADDAF WATERFRONT,25.22683115,55.33808609246107
MEYDAN AVENUE,25.159134100000003,55.29614117228572
DUBAI GOLF CITY,25.01129745,55.23425277233318
Jumeirah Second,25.24353,55.263123
LIVING LEGENDS,25.0850789,55.2981217
DUBAI MARITIME CITY,25.2548579,55.2756623
JUMEIRAH GOLF,25.0199891,55.2004893
Wadi Al Safa 2,25.0987828,55.351406478118335
DUBAI DESIGN DISTRICT,25.188132,55.29744343116474
SUFOUH GARDENS,25.1106092,55.1784605723726
MARSA AL ARAB,25.14437835,55.189599239359325
INTERNATIONAL CITY PH 1,25.232343,55.253784
DISCOVERY GARDENS,25.0456551,55.1329297
Naif,25.2719386,55.3101673
Palm Jumeirah,25.10019025,55.11853499506269
ARABIAN RANCHES I,25.04664545,55.27269042411697
DUBAI WATER FRONT,25.225742,55.271545
MIRA,25.00866025,55.30553609890601
REMRAAM,25.0013542,55.24885632771925
BARSHA HEIGHTS,25.09823355,55.17515407459196
BLUEWATERS,25.07954805,55.12170421845323
THE GREENS,25.09297535,55.17214781705864
JABEL ALI HILLS,25.192383,55.288086
Mirdif,25.2211708,55.4224204
Jabal Ali First,25.201538,55.283813
JUMEIRAH PARK,25.0469832,55.15476452713755
EMIRATE LIVING,25.213257,55.262817
Al Karama,25.2446784,55.30490344299247
Al Rashidiya,25.222025,55.3910064
ARABIAN RANCHES II,25.03439685,55.27332788354515
SERENA,25.03538045,55.28590440039767
THE VILLA,25.0843891,55.3611964
AL BARARI,25.118865,55.3209685
Al Mizhar First,25.230835,55.265747
Al Kifaf,25.2346273,55.298597312379904
Al Mamzer,25.238892,55.26355
LIWAN 2,25.1101209,55.3676993
JUMEIRAH HEIGHTS,25.06553675,55.14557004705467
GRAND VIEWS,25.1456862,55.300144314906376
PEARL JUMEIRA,25.2442868,55.2578979
NAD AL SHEBA GARDENS,25.259003,55.288513
JUMEIRAH ISLANDS,25.0571558,55.1562053434192
Nad Al Shiba Third,25.259451,55.291443
MUDON,25.0265946,55.269940277484366
Al Thanyah Fifth,25.230865,55.272766
Al Barshaa South First,25.222534,55.260162
AL KHAIL HEIGHTS,25.15586015,55.2536875439334
Al Barsha First,25.220029,55.269284
Abu Hail,25.2860287,55.328865
Al Waheda,25.2915387,55.3373622
Hor Al Anz,25.2795484,55.3410529
Al Aweer First,25.229828,55.262817
MILLENNIUM,25.21774325,55.278504350000006
Al Layan1,25.246582,55.262817
Mugatrah,25.22526,55.276428
Al Goze Second,25.232083,55.265747
Al Mizhar Second,25.230589,55.265747
Al Goze First,25.232788,55.265747
AKOYA OXYGEN,24.9835424,55.4034216
SUSTAINABLE CITY,25.030861,55.281554136970925
Al Barsha Second,25.220763,55.269284
Al Khawaneej Second,25.237482,55.26186
SAMA AL JADAF,25.22645,55.276428
Al Kheeran,25.237592,55.260803
DUBAI INDUSTRIAL CITY,24.8449148,55.0689382
Al Saffa First,25.235138,55.276428
Al Satwa,25.2208602,55.2737617
Wadi Alshabak,25.235031,55.277954
FALCON CITY OF WONDERS,25.0955281,55.3393384
Um Suqaim Second,25.23461,55.265015
AL WAHA,25.226701,55.277954
Al Ras,25.2700376,55.2964351923506
Muhaisanah Third,25.248428,55.278076
Jabal Ali Industrial First,25.201085,55.284206
Al Saffa Second,25.23475,55.27869
Um Al Sheif,25.235851,55.272766
Al Bada,25.237547,55.260803
DUBAI HEALTHCARE CITY - PHASE 1,25.219554,55.26889
Al Warqa First,25.229617,55.271545
Al Murqabat,25.230939,55.271545
Al Warqa Third,25.230765,55.271545
Muhaisanah First,25.248325,55.278076
Al Jafliya,25.238053,55.266463
Al Lusaily,25.23106,55.268144
Trade Center First,25.2299822,55.2865869
Palm Deira,25.2761408,55.3016752
CITY OF ARABIA,25.0924395,55.336933
ARABIAN RANCHES POLO CLUB,25.198078,55.284502
Port Saeed,25.2531578,55.3317832
Al Baraha,25.2810618,55.3194665
Nad Al Hamar,25.1853508,55.3773264
Eyal Nasser,25.234394,55.272053
MEDYAN RACE COURSE VILLAS,25.237724,55.261493
DMCC-EZ2,25.21839,55.255158
Al Twar Fourth,25.232754,55.262817
Nad Al Shiba Fourth,25.257012,55.288513
Al Khawaneej First,25.240638,55.26186
Al Barsha Third,25.222778,55.260162
Al Manara,25.1448185,55.2144527
Muhaisanah Second,25.249329,55.278076
Nad Al Shiba Second,25.259288,55.291443
Al Aweer Second,25.230684,55.263123
Mankhool,25.2495092,55.2954769
Al Hamriya,25.2599297,55.3031938
Al Suq Al Kabeer,25.224946,55.267101
Um Suqaim First,25.23401,55.265015
POLO TOWNHOUSES IGO,25.226804,55.276428
Wadi Al Amardi,25.1963985,55.4941748
Al Mararr,25.237922,55.26186
Jumeirah Third,25.243819,55.263123
Al Muteena,25.2741549,55.3225565
Hor Al Anz East,25.2827821,55.34681978197787
Al Barshaa South Second,25.223364,55.259804
Al Thanyah Third,25.230842,55.272053
Al Goze Fourth,25.232173,55.265747
Al Twar Third,25.231717,55.262817
Ras Al Khor Industrial Second,25.203686,55.284502
Al Hebiah Second,25.248535,55.278076
Al Buteen,25.26228685,55.314953100946965
Muhaisanah Fourth,25.249221,55.278076
Al Warqa Second,25.229927,55.271545
Al Nahda First,25.220511,55.258977
Oud Metha,25.23829555,55.31132741039748
Al Warsan Second,25.257615,55.255158
Al Qusais Industrial Fifth,25.221639,55.26421
Rega Al Buteen,25.228088,55.270849
Al Twar First,25.231013,55.262817
Al Garhoud,25.2407367,55.3520393
Al Khabeesi,25.237288,55.260803
Al Raffa,25.2542057,55.2879667
Wadi Al Safa 4,25.0783062,55.32232687159714
Al Qusais Industrial Fourth,25.221481,55.262817
Oud Al Muteena First,25.213486,55.262817
Al Jadaf,25.2218696,55.3359246
Al Qusais First,25.213378,55.262817
HORIZON,25.1220188,55.229227753790326
Al Dhagaya,25.2726408,55.3002405
Al Goze Third,25.232343,55.265747
GLOBAL VILLAGE,25.0694104,55.31105810013086
Grayteesah,25.229831,55.270849
Al Twar Second,25.231668,55.262817
Um Ramool,25.2310318,55.3674888
Madinat Hind 3,25.246414,55.268982
Nadd Hessa,25.228088,55.270849
Ras Al Khor Industrial First,25.202595,55.284502
Mushrif,25.2142599,55.4506587
Al Warqa Fourth,25.229737,55.271545
Al Yelayiss 5,25.223575,55.259804
Al Mizhar Third,25.230343,55.265747
Al Qusais Second,25.213691,55.262817
Al Nahda Second,25.220775,55.258977
Al Hudaiba,25.2428328,55.279212
Al Goze Industrial Third,25.233277,55.265015
IBN BATTUTA ,25.0481382,55.1266914
PALM DEIRA,25.2761408,55.3016752
Nazwah,25.229378,55.272053
Nad Shamma,25.2177763,55.38384350452733
Al Rega,25.228555,55.270849
DUBAI OUTSOURCE CITY,25.1235858,55.42522031548566
DUBAI INVESTMENT PARK FIRST,25.21849,55.255158
Madinat Hind 1,25.245948,55.270091
Dubai Investment Park Second,25.218247,55.255546
Al Goze Industrial Fourth,25.233328,55.265015
Al Goze Industrial First,25.232577,55.265015
Al Goze Industrial Second,25.232958,55.265015
Al Qusais Industrial First,25.22119,55.262817
Al Qusais Industrial Third,25.221336,55.262817
Ras Al Khor Industrial Third,25.203438,55.284502
